receiver,method,scope,budget,probability_variant,macro_f1,accuracy,balanced_accuracy,ece,adaptive_ece,nll,brier,mean_confidence,mean_correctness,confidence_accuracy_gap,entropy
13-14,DG_CORAL,primary,128,raw,0.7130208355474124,0.7386042402826856,0.7433512334277875,0.1293075647843547,0.1294778685602145,0.8833615109791932,0.3831073207800747,0.8676118515267337,0.7386042402826856,0.1290076112440481,0.3514457718704132
13-14,DG_DANN,primary,128,raw,0.7186929447766659,0.7411219081272085,0.7454072991651313,0.1123935447242308,0.1126766467506441,0.8268739477454494,0.3677685210042822,0.8532901114984925,0.7411219081272085,0.112168203371284,0.3872267673612474
13-14,DG_GROUPDRO,primary,128,raw,0.6316336702423904,0.6726148409893993,0.6790971861607882,0.1552209994752394,0.1551542504726787,1.0386073331417935,0.4643346363588284,0.8275254572185526,0.6726148409893993,0.1549106162291534,0.4595888534066094
13-14,EMB_STD,primary,128,raw,0.7589420504431961,0.7707155477031802,0.7745050684441436,0.1197130754669015,0.119274026742567,0.7709645105210751,0.3399527119600837,0.8899711614599708,0.7707155477031802,0.1192556137567905,0.2893445914358393
13-14,EMB_STD,primary,128,source_temperature,0.7589420504431961,0.7707155477031802,0.7745050684441436,0.062370681100587,0.0639580807230707,0.6209297590061308,0.3096403321146225,0.823938604163512,0.7707155477031802,0.0532230564603317,0.4967277011693266
13-14,P0,primary,128,raw,0.7208713632110542,0.7444787985865725,0.7489995868673702,0.1210009354426667,0.1212815743321454,0.8097790832141856,0.3669380988119075,0.8653893024861391,0.7444787985865725,0.1209105038995667,0.3590446800378875
13-14,P0,primary,128,source_temperature,0.7208713632110542,0.7444787985865725,0.7489995868673702,0.0729543480865217,0.073746527851464,0.6900865644111721,0.339882481447525,0.8062301754076829,0.7444787985865725,0.0617513768211104,0.5411226886589059
13-14,P0_WIDE,primary,128,raw,0.6752908327710602,0.7114840989399294,0.7167968088156053,0.1614998322065801,0.1612924904822513,1.1089286370257116,0.4382798381523169,0.8727711405888094,0.7114840989399294,0.1612870416488801,0.3275892899256557
13-14,P1,primary,128,raw,0.7383555080660645,0.7587455830388692,0.7628432199741539,0.1181734375905759,0.1179302459536613,0.8238640920329912,0.3490848138000804,0.8766167118368742,0.7587455830388692,0.117871128798005,0.3145652921440476
13-14,P2,primary,128,raw,0.7211578127669128,0.7392226148409894,0.7437754411876073,0.1304052877934261,0.130156328630479,0.8824282416380719,0.3845452299990465,0.8689594284292351,0.7392226148409894,0.1297368135882456,0.3284520575151977
13-14,P2,primary,128,source_temperature,0.7211578127669128,0.7392226148409894,0.7437754411876073,0.0573588573462124,0.0594725706545311,0.6824453017539502,0.3452541144248354,0.7795611131220468,0.7392226148409894,0.0403384982810573,0.6089231099512504
13-14,P2_MISMATCHED_RX,primary,128,raw,0.6757363407720456,0.7081713780918728,0.7137243539702823,0.1699813711322028,0.1699475996643831,1.1455990565448555,0.4394053733322797,0.878110311061881,0.7081713780918728,0.1699389329700082,0.3099176172312344
13-14,P2_NULL,primary,128,raw,0.6624232204175591,0.6978356890459364,0.7033950386925236,0.1539512231853846,0.1531987082845015,1.041795433658241,0.4416898096785258,0.8496065688349124,0.6978356890459364,0.1517708797889758,0.3941964049717931
13-14,P2_SHUFFLED,primary,128,raw,0.6608653304785792,0.6989840989399293,0.7049031704377037,0.1798344960995677,0.1796847827903689,1.2177521292397728,0.4590986036721728,0.8786522972275744,0.6989840989399293,0.1796681982876449,0.3115149257376727
13-14,RX_NORM,primary,128,raw,0.6622586384888736,0.6945671378091872,0.7004657303456184,0.1637464993426003,0.1637387861988043,1.0532284410132573,0.452329403291139,0.8582512173696353,0.6945671378091872,0.1636840795604479,0.3725528118094859
13-14,SAR_GN,primary,128,raw,0.7208713632110542,0.7444787985865725,0.7489995868673702,0.1210009354426667,0.1212815743321454,0.8097790832141856,0.3669380988119075,0.8653893024861391,0.7444787985865725,0.1209105038995667,0.3590446800378875
13-14,SAR_GN,primary,128,source_temperature,0.7208713632110542,0.7444787985865725,0.7489995868673702,0.0729543480865217,0.073746527851464,0.6900865644111721,0.339882481447525,0.8062301754076829,0.7444787985865725,0.0617513768211104,0.5411226886589059
13-14,SOURCE_NORM,primary,128,raw,0.6958128214193385,0.7206713780918728,0.7258597229515364,0.1397039364022943,0.1395941658136385,0.9477798583062504,0.4132724561317326,0.8601559718498176,0.7206713780918728,0.1394845937579449,0.3686727986408643
13-14,SUP_FT_FULL_128,primary,128,raw,0.9258230817255608,0.9247349823321556,0.9240699946384788,0.0220060277769717,0.0201333370257182,0.217234179005557,0.0993676362015893,0.9288580767784016,0.9247349823321556,0.0041230944462462,0.2044349815449147
13-14,SUP_FT_HEAD_128,primary,128,raw,0.7818827871114833,0.7912102473498234,0.7943508240789405,0.0825150755671751,0.083020909468877,0.6040396999340777,0.2902141780674924,0.8734152101019772,0.7912102473498234,0.0822049627521539,0.3371497958961473
13-14,T3A,primary,128,raw,0.7819718435251829,0.7953180212014135,0.7983668675930656,0.1288587665257732,0.1283518250531421,0.6358831122402957,0.2994947486253613,0.6855430993801082,0.7953180212014135,-0.1097749218213053,0.9072789488981992
13-14,T3A,primary,128,source_temperature,0.7819718435251829,0.7953180212014135,0.7983668675930656,0.0640271657274884,0.0626953674498044,0.5761525214321693,0.2801889528377849,0.8025198945299149,0.7953180212014135,0.0072018733285013,0.5565639489166269
13-7,DG_CORAL,primary,128,raw,0.827761738819599,0.8273544520547945,0.8272583435760769,0.0560853170569067,0.0559520577839639,0.5538231281998748,0.2380334665841408,0.8831049808447746,0.8273544520547945,0.0557505287899801,0.3146772427936843
13-7,DG_DANN,primary,128,raw,0.8019855704326121,0.8034246575342465,0.8033584395274709,0.0762510008924985,0.0760407565359332,0.6601553326142384,0.2780382157949024,0.8793773587455028,0.8034246575342465,0.0759527012112563,0.3316896618443964
13-7,DG_GROUPDRO,primary,128,raw,0.7975962923653759,0.7967465753424657,0.796599041518519,0.0549201006605608,0.0556759750853254,0.606367681696143,0.2794935401563608,0.8512720892741663,0.7967465753424657,0.0545255139317006,0.407096607638128
13-7,EMB_STD,primary,128,raw,0.8261881122592941,0.8263698630136986,0.8262520251261154,0.0795207015289733,0.0794142164659928,0.6484351791173409,0.2538679507209204,0.9057421628143384,0.8263698630136986,0.0793722998006397,0.2487679930119848
13-7,EMB_STD,primary,128,source_temperature,0.8261881122592941,0.8263698630136986,0.8262520251261154,0.0237258340833842,0.0236815923771917,0.522064471642923,0.2368941638305307,0.8275288817406954,0.8263698630136986,0.0011590187269968,0.5033442588734555
13-7,P0,primary,128,raw,0.8249093946828522,0.8251284246575341,0.8250753041665778,0.0661232228480177,0.0659782403084921,0.5904175693555481,0.2473562156519407,0.8910208966736107,0.8251284246575341,0.0658924720160765,0.29036014423424
13-7,P0,primary,128,source_temperature,0.8249093946828522,0.8251284246575341,0.8250753041665778,0.0258850183369173,0.0249852815420833,0.5153343207054523,0.2367500120199692,0.8190895386481607,0.8251284246575341,-0.0060388860093734,0.5265427029173024
